Date,Price,Open,High,Low,Vol.,Change %,Close
"Dec 09, 2021",47776,50477.6,50790.2,47525.4,53.58K,-5.35%,50596.6
"Dec 08, 2021",50473.9,50596.6,51204.7,48700.7,55.59K,-0.24%,50547.4
"Dec 07, 2021",50595.2,50547.4,51918.6,50070.9,56.29K,0.07%,49412.1
"Dec 06, 2021",50562.1,49412.1,50913.3,47237.9,89.68K,2.34%,49196.4
"Dec 05, 2021",49405.5,49196.4,49689.3,47797.8,72.03K,0.43%,53620.7
"Dec 04, 2021",49195.2,53620.7,53847.2,42587.8,168.00K,-8.27%,56495.2
"Dec 03, 2021",53631.5,56495.2,57543.6,52008.9,89.20K,-5.07%,57207.8
"Dec 02, 2021",56496,57207.8,57377.5,55807.9,54.94K,-1.25%,56891.7
"Dec 01, 2021",57210.3,56891.7,59064.3,56496.5,66.75K,0.58%,57795.2
"Nov 30, 2021",56882.9,57795.2,59174.4,55936.9,73.66K,-1.58%,57288.1
"Nov 29, 2021",57794.8,57288.1,58855.2,56726.7,58.65K,0.88%,54758
"Nov 28, 2021",57291.5,54758,57392.3,53448.3,49.28K,4.61%,53747.2
"Nov 27, 2021",54765.9,53747.2,55280.3,53654.3,40.71K,1.93%,58937.3
"Nov 26, 2021",53730.9,58937.3,59151.1,53533.5,104.03K,-8.83%,57167.1
"Nov 25, 2021",58935.1,57167.1,59387.3,57029.8,56.79K,3.08%,57559.4
"Nov 24, 2021",57171.7,57559.4,57697.4,55910.6,56.68K,-0.70%,56304.8
"Nov 23, 2021",57573.2,56304.8,57855.1,55542.5,72.48K,2.25%,58719.7
"Nov 22, 2021",56308.8,58719.7,59288.3,55656.8,76.45K,-4.10%,59724
"Nov 21, 2021",58714.3,59724,60002.6,58528.3,40.98K,-1.68%,58080.8
"Nov 20, 2021",59717.6,58080.8,59854.6,57435.3,44.53K,2.81%,56908.3
"Nov 19, 2021",58083.4,56908.3,58335.9,55626.3,74.44K,1.98%,60368.2
"Nov 18, 2021",56955.3,60368.2,60936.9,56524.4,100.37K,-5.65%,60074.2
"Nov 17, 2021",60367.8,60074.2,60814.5,58531.9,73.93K,0.46%,63605.1
"Nov 16, 2021",60089.1,63605.1,63605.6,58655.9,115.36K,-5.52%,65514.9
"Nov 15, 2021",63597.9,65514.9,66311.2,63439.5,53.53K,-2.92%,64397.2
"Nov 14, 2021",65508.2,64397.2,65508.2,63608.3,33.98K,1.72%,64133.3
"Nov 13, 2021",64398.6,64133.3,64906,63381.4,30.34K,0.41%,64782.6
"Nov 12, 2021",64134.5,64782.6,65449.7,62309.7,63.27K,-1.04%,64922.8
"Nov 11, 2021",64806.7,64922.8,65583.3,64121.9,50.37K,-0.19%,66942.6
"Nov 10, 2021",64932.6,66942.6,68990.6,62951.3,96.21K,-2.95%,67528.7
"Nov 09, 2021",66904.4,67528.7,68493.3,66334.9,66.13K,-0.92%,63276.4
"Nov 08, 2021",67527.9,63276.4,67763.3,63276.4,81.08K,6.72%,61483.8
"Nov 07, 2021",63273.2,61483.8,63273.2,61347.2,34.34K,2.91%,60973.2
"Nov 06, 2021",61483.9,60973.2,61543.2,60093.6,34.89K,0.84%,61411.5
"Nov 05, 2021",60974.3,61411.5,62560.3,60742.4,44.46K,-0.71%,62915.4
"Nov 04, 2021",61412.6,62915.4,63077.6,60742.9,49.91K,-2.39%,63223.5
"Nov 03, 2021",62918.5,63223.5,63508.6,60883,61.05K,-0.48%,60912.2
"Nov 02, 2021",63221.7,60912.2,64256.4,60651.5,65.26K,3.79%,61310.1
"Nov 01, 2021",60915.3,61310.1,62430.1,59612.7,61.21K,-0.64%,61842.2
"Oct 31, 2021",61309.6,61842.2,62393.7,60005.7,50.06K,-0.86%,62245
"Oct 30, 2021",61840.1,62245,62338.5,60786,40.51K,-0.65%,60579.9
"Oct 29, 2021",62242.8,60579.9,62952.2,60322.2,63.39K,2.74%,58437.2
"Oct 28, 2021",60582.5,58437.2,62251.3,58128.1,88.47K,3.67%,60312.5
"Oct 27, 2021",58438.1,60312.5,61452.9,58112.6,88.11K,-3.11%,63067.5
"Oct 26, 2021",60310.8,63067.5,63275.1,59907.3,57.13K,-4.37%,60864.3
"Oct 25, 2021",63067,60864.3,63694.8,60655.8,51.06K,3.62%,61308.2
"Oct 24, 2021",60866.5,61308.2,61469.9,59523.7,42.67K,-0.73%,60693.2
"Oct 23, 2021",61312.5,60693.2,61728.7,59738.3,37.05K,1.03%,62200.8
"Oct 22, 2021",60690.3,62200.8,63699.7,60055.7,75.69K,-2.44%,66004.6
"Oct 21, 2021",62210.2,66004.6,66616.9,62092.1,105.38K,-5.71%,64276.9
"Oct 20, 2021",65979.1,64276.9,66967.1,63543.7,79.87K,2.65%,62030.2
"Oct 19, 2021",64278.5,62030.2,64454,61451,80.16K,3.58%,61525.8
"Oct 18, 2021",62056.3,61525.8,62623.6,60026.9,80.15K,0.86%,60865.5
"Oct 17, 2021",61527.5,60865.5,61651.4,59143.4,53.39K,1.09%,61669.2
"Oct 16, 2021",60861.1,61669.2,62329.2,60161.9,49.93K,-1.32%,57348.2
"Oct 15, 2021",61672.5,57348.2,62892.8,56874.8,121.48K,7.54%,57370.4
"Oct 14, 2021",57345.8,57370.4,58506.5,56866.8,59.84K,-0.06%,56014.5
"Oct 13, 2021",57380.1,56014.5,57697.4,54314.4,73.62K,2.44%,57480.6
"Oct 12, 2021",56015.9,57480.6,57635.7,54155.4,74.85K,-2.54%,54686.9
"Oct 11, 2021",57477.3,54686.9,57814.1,54457.8,73.84K,5.10%,54942.5
"Oct 10, 2021",54687.7,54942.5,56432.2,54100.8,104.43K,-0.46%,53924.1
"Oct 09, 2021",54942.5,53924.1,55430.8,53711.7,64.65K,1.91%,53785.5
"Oct 08, 2021",53914.7,53785.5,55977.9,53659.3,64.05K,0.24%,55325.2
"Oct 07, 2021",53783.9,55325.2,55325.6,53476.4,75.68K,-2.78%,51470
"Oct 06, 2021",55323.2,51470,55676.1,50439.5,116.26K,7.49%,49229.5
"Oct 05, 2021",51469.3,49229.5,51872.4,49060.1,76.63K,4.55%,48200.4
"Oct 04, 2021",49227.3,48200.4,49481.7,46958.6,66.92K,2.13%,47665.4
"Oct 03, 2021",48200.1,47665.4,49165.2,47123,42.41K,1.12%,48147.2
"Oct 02, 2021",47666.9,48147.2,48306.9,47451.7,39.82K,-1.00%,43824.4
"Oct 01, 2021",48146,43824.4,48435.2,43292.9,94.66K,9.86%,41534.5
"Sep 30, 2021",43823.3,41534.5,44101.2,41416.7,64.32K,5.50%,41023.1
"Sep 29, 2021",41536.8,41023.1,42571.2,40815,48.21K,1.25%,42169.9
"Sep 28, 2021",41022.3,42169.9,42758.8,40906.4,60.01K,-2.73%,43200.9
"Sep 27, 2021",42172.6,43200.9,44293.2,42143.9,54.12K,-2.39%,42685.8
"Sep 26, 2021",43203.4,42685.8,43907.3,40786.6,69.91K,1.21%,42818.7
"Sep 25, 2021",42686.8,42818.7,42959.3,41714.5,46.35K,-0.31%,44867.4
"Sep 24, 2021",42819.9,44867.4,45112,40908.5,128.88K,-4.57%,43550.7
"Sep 23, 2021",44869.2,43550.7,44949.8,43090.1,74.54K,3.03%,40660.8
"Sep 22, 2021",43551.6,40660.8,43976.7,40585.7,93.98K,7.13%,43012.3
"Sep 21, 2021",40651.3,43012.3,43619.3,39646.8,142.55K,-5.18%,47240.8
"Sep 20, 2021",42870.6,47240.8,47323.9,42547.1,77.96K,-9.25%,48299.9
"Sep 19, 2021",47238.7,48299.9,48341.9,46866.6,41.98K,-2.21%,47283.9
"Sep 18, 2021",48306.7,47283.9,48761,47070.5,43.64K,2.17%,47748.2
"Sep 17, 2021",47282.8,47748.2,48155.9,46788.8,50.16K,-0.97%,48132.3
